raw_date,session,representation,anchor_raw_epoch,causal_prefix_complete,causal_prefix_and_entry_minute_complete,complete_through_hold_end,original_full_future_complete
2024-02-09,LONDON_0800,ORIGINAL_DIRECT_UTC,1707465600,0,0,0,0
2024-02-09,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1707472800,0,0,0,0
2024-02-09,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1707489000,1,1,1,1
2024-02-09,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1707496200,1,1,1,1
2024-02-12,LONDON_0800,ORIGINAL_DIRECT_UTC,1707724800,0,0,0,0
2024-02-12,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1707732000,1,1,1,1
2024-02-12,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1707748200,1,1,1,1
2024-02-12,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1707755400,1,1,1,1
2024-02-13,LONDON_0800,ORIGINAL_DIRECT_UTC,1707811200,0,0,0,0
2024-02-13,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1707818400,1,1,1,1
2024-02-13,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1707834600,1,1,1,1
2024-02-13,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1707841800,1,1,1,1
2024-02-14,LONDON_0800,ORIGINAL_DIRECT_UTC,1707897600,1,1,1,1
2024-02-14,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1707904800,1,1,1,1
2024-02-14,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1707921000,1,1,1,1
2024-02-14,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1707928200,1,1,1,1
2024-02-15,LONDON_0800,ORIGINAL_DIRECT_UTC,1707984000,0,0,0,0
2024-02-15,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1707991200,1,1,1,1
2024-02-15,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1708007400,1,1,1,1
2024-02-15,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1708014600,1,1,1,1
2024-02-16,LONDON_0800,ORIGINAL_DIRECT_UTC,1708070400,1,1,1,1
2024-02-16,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1708077600,1,1,1,1
2024-02-16,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1708093800,1,1,1,1
2024-02-16,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1708101000,1,1,1,1
2024-02-19,LONDON_0800,ORIGINAL_DIRECT_UTC,1708329600,1,1,1,1
2024-02-19,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1708336800,1,1,1,1
2024-02-19,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1708353000,1,1,1,1
2024-02-19,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1708360200,1,1,1,1
2024-02-20,LONDON_0800,ORIGINAL_DIRECT_UTC,1708416000,1,1,0,0
2024-02-20,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1708423200,1,1,1,1
2024-02-20,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1708439400,1,1,1,1
2024-02-20,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1708446600,1,1,1,1
2024-02-21,LONDON_0800,ORIGINAL_DIRECT_UTC,1708502400,1,1,1,1
2024-02-21,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1708509600,1,1,1,1
2024-02-21,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1708525800,1,1,1,1
2024-02-21,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1708533000,1,1,1,1
2024-02-22,LONDON_0800,ORIGINAL_DIRECT_UTC,1708588800,1,1,1,1
2024-02-22,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1708596000,1,1,1,1
2024-02-22,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1708612200,1,1,1,1
2024-02-22,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1708619400,1,1,1,1
2024-02-23,LONDON_0800,ORIGINAL_DIRECT_UTC,1708675200,0,0,0,0
2024-02-23,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1708682400,1,1,1,1
2024-02-23,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1708698600,1,1,1,1
2024-02-23,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1708705800,1,1,1,1
2024-02-26,LONDON_0800,ORIGINAL_DIRECT_UTC,1708934400,1,1,1,1
2024-02-26,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1708941600,1,1,1,1
2024-02-26,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1708957800,1,1,1,1
2024-02-26,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1708965000,1,1,1,1
2024-02-27,LONDON_0800,ORIGINAL_DIRECT_UTC,1709020800,1,1,1,1
2024-02-27,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1709028000,1,1,1,1
2024-02-27,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1709044200,1,1,1,1
2024-02-27,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1709051400,1,1,1,1
2024-02-28,LONDON_0800,ORIGINAL_DIRECT_UTC,1709107200,1,1,1,1
2024-02-28,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1709114400,1,1,1,1
2024-02-28,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1709130600,1,1,1,1
2024-02-28,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1709137800,1,1,1,1
2024-02-29,LONDON_0800,ORIGINAL_DIRECT_UTC,1709193600,1,1,0,0
2024-02-29,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1709200800,1,1,1,1
2024-02-29,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1709217000,1,1,1,1
2024-02-29,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1709224200,1,1,1,0
2024-03-01,LONDON_0800,ORIGINAL_DIRECT_UTC,1709280000,0,0,0,0
2024-03-01,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1709287200,1,1,1,1
2024-03-01,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1709303400,1,1,1,1
2024-03-01,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1709310600,1,1,1,1
2024-03-04,LONDON_0800,ORIGINAL_DIRECT_UTC,1709539200,0,0,0,0
2024-03-04,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1709546400,1,1,1,1
2024-03-04,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1709562600,1,1,1,1
2024-03-04,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1709569800,1,1,1,1
2024-03-05,LONDON_0800,ORIGINAL_DIRECT_UTC,1709625600,1,1,1,1
2024-03-05,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1709632800,1,1,1,1
2024-03-05,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1709649000,1,1,1,1
2024-03-05,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1709656200,1,1,1,1
2024-03-06,LONDON_0800,ORIGINAL_DIRECT_UTC,1709712000,1,1,1,1
2024-03-06,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1709719200,0,0,0,0
2024-03-06,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1709735400,1,1,1,1
2024-03-06,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1709742600,1,1,1,1
2024-03-07,LONDON_0800,ORIGINAL_DIRECT_UTC,1709798400,1,1,1,1
2024-03-07,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1709805600,1,1,1,1
2024-03-07,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1709821800,1,1,1,1
2024-03-07,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1709829000,1,1,1,1
2024-03-08,LONDON_0800,ORIGINAL_DIRECT_UTC,1709884800,0,0,0,0
2024-03-08,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1709892000,1,1,1,1
2024-03-08,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1709908200,1,1,1,1
2024-03-08,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1709915400,1,1,1,1
2024-03-11,LONDON_0800,ORIGINAL_DIRECT_UTC,1710144000,1,1,1,1
2024-03-11,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1710154800,1,1,1,1
2024-03-11,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1710163800,1,1,1,1
2024-03-11,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1710174600,1,1,1,1
