time_epoch,time_server,open,high,low,close,tick_volume,spread,real_volume
1657069200,2022.07.06 01:00:00,135.831,135.869,135.687,135.714,3184,11,0
1657072800,2022.07.06 02:00:00,135.714,135.721,135.414,135.536,8948,11,0
1657076400,2022.07.06 03:00:00,135.536,135.762,135.469,135.649,14809,11,0
1657080000,2022.07.06 04:00:00,135.649,135.659,135.127,135.29,16950,11,0
1657083600,2022.07.06 05:00:00,135.29,135.325,135.132,135.169,9250,11,0
1657087200,2022.07.06 06:00:00,135.169,135.367,135.121,135.362,7838,11,0
1657090800,2022.07.06 07:00:00,135.363,135.493,135.318,135.327,8006,11,0
1657094400,2022.07.06 08:00:00,135.328,135.334,135.141,135.217,9734,11,0
1657098000,2022.07.06 09:00:00,135.218,135.471,135.018,135.385,19241,11,0
1657101600,2022.07.06 10:00:00,135.386,135.688,135.293,135.423,16685,11,0
1657105200,2022.07.06 11:00:00,135.423,135.468,135.058,135.206,12900,11,0
1657108800,2022.07.06 12:00:00,135.206,135.415,135.15,135.315,10847,11,0
1657112400,2022.07.06 13:00:00,135.315,135.485,135.261,135.384,9502,11,0
1657116000,2022.07.06 14:00:00,135.384,135.496,135.215,135.246,11385,11,0
1657119600,2022.07.06 15:00:00,135.246,135.349,134.94,135.146,23660,11,0
1657123200,2022.07.06 16:00:00,135.146,135.402,134.95,135.311,26108,11,0
1657126800,2022.07.06 17:00:00,135.308,136.002,135.308,135.661,38992,11,0
1657130400,2022.07.06 18:00:00,135.661,135.818,135.52,135.661,14145,11,0
1657134000,2022.07.06 19:00:00,135.661,135.754,135.62,135.743,6785,11,0
1657137600,2022.07.06 20:00:00,135.743,135.785,135.633,135.664,6661,11,0
1657141200,2022.07.06 21:00:00,135.664,135.972,135.549,135.96,19048,11,0
1657144800,2022.07.06 22:00:00,135.96,135.999,135.851,135.863,5823,11,0
1657148400,2022.07.06 23:00:00,135.862,135.939,135.831,135.903,3553,11,0
1657152000,2022.07.07 00:00:00,135.898,135.946,135.874,135.907,495,11,0
1657155600,2022.07.07 01:00:00,135.9,135.937,135.776,135.88,4735,11,0
1657159200,2022.07.07 02:00:00,135.88,136.128,135.88,135.948,5639,11,0
1657162800,2022.07.07 03:00:00,135.947,136.059,135.747,135.761,12942,11,0
1657166400,2022.07.07 04:00:00,135.761,135.82,135.544,135.768,14308,11,0
1657170000,2022.07.07 05:00:00,135.768,135.799,135.584,135.755,10806,11,0
1657173600,2022.07.07 06:00:00,135.753,135.799,135.687,135.727,4975,11,0
1657177200,2022.07.07 07:00:00,135.727,135.761,135.594,135.675,5076,11,0
1657180800,2022.07.07 08:00:00,135.675,135.93,135.664,135.884,7796,11,0
1657184400,2022.07.07 09:00:00,135.884,135.995,135.781,135.841,12326,11,0
1657188000,2022.07.07 10:00:00,135.841,136.172,135.735,136.126,12533,11,0
1657191600,2022.07.07 11:00:00,136.126,136.217,136.018,136.132,13214,11,0
1657195200,2022.07.07 12:00:00,136.132,136.206,135.999,136.042,12624,11,0
1657198800,2022.07.07 13:00:00,136.041,136.059,135.832,135.836,6791,11,0
1657202400,2022.07.07 14:00:00,135.836,135.905,135.652,135.687,9125,11,0
1657206000,2022.07.07 15:00:00,135.686,135.919,135.553,135.904,16462,11,0
1657209600,2022.07.07 16:00:00,135.904,135.931,135.73,135.741,14847,11,0
1657213200,2022.07.07 17:00:00,135.741,135.961,135.669,135.943,9886,11,0
1657216800,2022.07.07 18:00:00,135.942,136.007,135.867,135.996,7242,11,0
1657220400,2022.07.07 19:00:00,135.996,136.038,135.919,136.031,4445,11,0
1657224000,2022.07.07 20:00:00,136.031,136.062,135.972,136.061,3027,11,0
1657227600,2022.07.07 21:00:00,136.061,136.101,136.021,136.099,2070,11,0
1657231200,2022.07.07 22:00:00,136.099,136.103,135.982,135.988,2275,11,0
1657234800,2022.07.07 23:00:00,135.988,136.008,135.967,135.982,1271,11,0
1657238400,2022.07.08 00:00:00,135.982,136.025,135.97,136.007,256,15,0
