decision_epoch,decision_time,pair,valid,alpha,beta,r_squared,residual_mean,residual_std,residual_z
1704171600,2024-01-02T05:00:00,US100_US30,True,-1.076869138874514,1.0259231599938181,0.9145054475885389,0.001992436733690021,0.0023919562038283125,-2.4393583823825713
1704171600,2024-01-02T05:00:00,US100_US500,True,-0.010948625803401058,1.1499110008780056,0.9848844592514566,0.0012726848824753945,0.001118466679810007,-1.6962817192414306
1704171600,2024-01-02T05:00:00,US30_US500,True,1.544760453047056,1.0608117140114333,0.9646656445261623,0.0022060565719800493,0.0016365389557162597,2.340217979116225
1704175200,2024-01-02T06:00:00,US100_US30,True,-1.0587385886516198,1.0241954707808218,0.9144741914783798,0.002000430761656069,0.0024696465333649267,-2.4322717954469413
1704175200,2024-01-02T06:00:00,US100_US500,True,-0.007693738854378296,1.1495250358042393,0.9848128196478512,0.0012697002403505575,0.0011405471643635909,-1.9186071122749957
1704175200,2024-01-02T06:00:00,US30_US500,True,1.5320987978534824,1.062313581669914,0.9647538965121326,0.0021898255356106824,0.0016790725912607942,2.2208492585348716
1704178800,2024-01-02T07:00:00,US100_US30,True,-1.0399701605660567,1.0224069949310859,0.9144547093281258,0.0020142086795145544,0.0025489318862575994,-2.435383908974786
1704178800,2024-01-02T07:00:00,US100_US500,True,-0.003980151153074374,1.1490846561794625,0.9847410993696004,0.0012726421171365503,0.0011634215989198113,-2.0987283531317837
1704178800,2024-01-02T07:00:00,US30_US500,True,1.519204944942711,1.063842956733487,0.9648470686903577,0.0021735877762416957,0.0017193268538429102,2.14942218155255
1704182400,2024-01-02T08:00:00,US100_US30,True,-1.0204936698324047,1.0205511646916556,0.9144691539009164,0.0020439057080537393,0.0026102504512115292,-2.1978565012309925
1704182400,2024-01-02T08:00:00,US100_US500,True,-0.0002389039848864627,1.1486410431356147,0.9846665854228387,0.0012843058620030472,0.0011732699163975303,-1.8668074605352554
1704182400,2024-01-02T08:00:00,US30_US500,True,1.5053784801909682,1.0654828462963541,0.9649703484741056,0.0021489683132041213,0.0017554218875180754,1.994763021585969
1704186000,2024-01-02T09:00:00,US100_US30,True,-1.0004258518879556,1.018638940626422,0.9144861771697889,0.0020670269193752513,0.002683736863937671,-2.321293170654359
1704186000,2024-01-02T09:00:00,US100_US500,True,0.00387950153294625,1.1481526740220382,0.9845909496702634,0.0012916105228812924,0.0011935072817605128,-2.0900814686594984
1704186000,2024-01-02T09:00:00,US30_US500,True,1.4913332978900051,1.067148671488776,0.965094444873901,0.002125969626465533,0.0017939092520137794,2.0424222863184616
1704189600,2024-01-02T10:00:00,US100_US30,True,-0.9803884949729316,1.016729699164507,0.914503453444441,0.002098740934927105,0.002742013721929775,-2.099235557208235
1704189600,2024-01-02T10:00:00,US100_US500,True,0.007767325618347698,1.1476917129463762,0.9845131313412098,0.0013066374446868239,0.0011984788426531421,-1.7472643867623614
1704189600,2024-01-02T10:00:00,US30_US500,True,1.477015895462836,1.068846748893473,0.96522280048559,0.002102146129184357,0.00183026349270314,1.9738076775121365
1704193200,2024-01-02T11:00:00,US100_US30,True,-0.9596968604831275,1.0147579823659865,0.9145450286308963,0.002117681486224987,0.0028304558401134844,-2.4746079414545656
1704193200,2024-01-02T11:00:00,US100_US500,True,0.01228746912482137,1.1471557065081208,0.9844407690335178,0.0013172750162746365,0.0012184152045335364,-2.2188265450710714
1704193200,2024-01-02T11:00:00,US30_US500,True,1.4625736262687745,1.070559710087292,0.9653537776593215,0.0020864088175196103,0.0018802232343982826,2.2853155407072836
1704196800,2024-01-02T12:00:00,US100_US30,True,-0.9392996908192863,1.0128144888617039,0.9145880860677095,0.002147184065508271,0.0028948140845404544,-2.1514521783254352
1704196800,2024-01-02T12:00:00,US100_US500,True,0.016742684638435534,1.1466274815664745,0.9843667833731005,0.0013326293724603329,0.0012273154501848185,-1.882499595543135
1704196800,2024-01-02T12:00:00,US30_US500,True,1.4482430257208403,1.072259303164157,0.9654864315303546,0.002064017316687816,0.0019191220280340925,1.98158835632641
1704200400,2024-01-02T13:00:00,US100_US30,True,-0.9197116102502996,1.0109480996579563,0.9146515129220842,0.002164218341086044,0.002974685168778708,-2.321223779958589
1704200400,2024-01-02T13:00:00,US100_US500,True,0.021322103050685826,1.146084431843385,0.9842984914552989,0.0013414127603412762,0.0012533946917420789,-2.447497173382729
