time_epoch,time_utc,open,high,low,close,tick_volume,spread,real_volume
1733385600,2024-12-05 08:00:00,45048.67,45056.92,45046.42,45053.67,747,160,0
1733387400,2024-12-05 08:30:00,45053.92,45066.92,45051.42,45060.17,614,160,0
1733389200,2024-12-05 09:00:00,45060.17,45060.52,45048.02,45056.02,931,140,0
1733391000,2024-12-05 09:30:00,45056.27,45063.52,45045.77,45056.52,826,140,0
1733392800,2024-12-05 10:00:00,45056.52,45091.02,45050.52,45083.52,2088,140,0
1733394600,2024-12-05 10:30:00,45083.52,45086.52,45057.52,45065.52,1385,140,0
1733396400,2024-12-05 11:00:00,45063.52,45064.52,45033.52,45037.52,1565,140,0
1733398200,2024-12-05 11:30:00,45037.52,45047.52,45028.52,45044.52,1060,140,0
1733400000,2024-12-05 12:00:00,45044.52,45056.02,45034.02,45036.02,1203,140,0
1733401800,2024-12-05 12:30:00,45036.02,45036.52,44998.02,45005.52,980,140,0
1733403600,2024-12-05 13:00:00,45006.02,45040.52,45000.52,45038.02,936,140,0
1733405400,2024-12-05 13:30:00,45038.52,45040.77,45018.02,45019.52,948,140,0
1733407200,2024-12-05 14:00:00,45019.77,45043.52,45016.77,45032.02,1215,140,0
1733409000,2024-12-05 14:30:00,45031.52,45043.52,45027.02,45037.52,1106,140,0
1733410800,2024-12-05 15:00:00,45037.52,45041.52,45003.02,45014.02,1304,140,0
1733412600,2024-12-05 15:30:00,45014.02,45029.52,44963.52,44993.52,2359,140,0
1733414400,2024-12-05 16:00:00,44994.27,45024.52,44982.27,44994.52,2111,140,0
1733416200,2024-12-05 16:30:00,44994.52,45085.52,44944.77,45062.77,11602,90,0
1733418000,2024-12-05 17:00:00,45063.02,45089.77,44948.77,44949.77,8054,90,0
1733419800,2024-12-05 17:30:00,44949.77,44969.77,44885.77,44948.77,6810,90,0
1733421600,2024-12-05 18:00:00,44947.77,44976.77,44907.77,44973.77,5438,90,0
1733423400,2024-12-05 18:30:00,44973.77,44977.27,44905.27,44929.77,4537,90,0
1733425200,2024-12-05 19:00:00,44929.77,44939.27,44873.77,44888.27,4128,90,0
1733427000,2024-12-05 19:30:00,44888.27,44944.77,44868.52,44938.77,3782,90,0
1733428800,2024-12-05 20:00:00,44938.77,44946.77,44832.77,44879.77,4988,90,0
1733430600,2024-12-05 20:30:00,44879.77,44925.27,44851.77,44901.77,4731,90,0
1733432400,2024-12-05 21:00:00,44901.77,44918.77,44860.27,44860.77,4381,90,0
