time_epoch,time,role,total_matured_observations,experts_at_256_maturity,current_valid_experts_with_score,current_positive_experts,selected_expert,selected_score_R,slot_available,accepted,rejection,settled_actual_balance_usd
1704187800,2024-01-02T09:30:00,ONLINE_HL96,943806,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704187800,2024-01-02T09:30:00,ONLINE_HL256,943806,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704188700,2024-01-02T09:45:00,ONLINE_HL32,943826,30,26,1,,,0,0,GLOBAL_SLOT_OCCUPIED,101.34517968749903
1704188700,2024-01-02T09:45:00,ONLINE_HL96,943826,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704188700,2024-01-02T09:45:00,ONLINE_HL256,943826,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704189600,2024-01-02T10:00:00,ONLINE_HL32,943852,30,24,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,102.57717968749911
1704189600,2024-01-02T10:00:00,ONLINE_HL96,943852,30,24,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704189600,2024-01-02T10:00:00,ONLINE_HL256,943852,30,24,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704190500,2024-01-02T10:15:00,ONLINE_HL32,943882,30,30,2,US100_H8_REVERSION,0.03472808120538258,1,1,,102.57717968749911
1704190500,2024-01-02T10:15:00,ONLINE_HL96,943882,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704190500,2024-01-02T10:15:00,ONLINE_HL256,943882,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704191400,2024-01-02T10:30:00,ONLINE_HL32,943912,30,30,2,,,0,0,GLOBAL_SLOT_OCCUPIED,102.57717968749911
1704191400,2024-01-02T10:30:00,ONLINE_HL96,943912,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704191400,2024-01-02T10:30:00,ONLINE_HL256,943912,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704192300,2024-01-02T10:45:00,ONLINE_HL32,943938,30,30,3,,,0,0,GLOBAL_SLOT_OCCUPIED,102.57717968749911
1704192300,2024-01-02T10:45:00,ONLINE_HL96,943938,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704192300,2024-01-02T10:45:00,ONLINE_HL256,943938,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704193200,2024-01-02T11:00:00,ONLINE_HL32,943962,30,26,2,,,0,0,GLOBAL_SLOT_OCCUPIED,102.57717968749911
1704193200,2024-01-02T11:00:00,ONLINE_HL96,943962,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704193200,2024-01-02T11:00:00,ONLINE_HL256,943962,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704194100,2024-01-02T11:15:00,ONLINE_HL32,943992,30,28,4,US100_H8_REVERSION,0.05858093414637219,1,1,,105.18967968749911
1704194100,2024-01-02T11:15:00,ONLINE_HL96,943992,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704194100,2024-01-02T11:15:00,ONLINE_HL256,943992,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704195000,2024-01-02T11:30:00,ONLINE_HL32,944022,30,26,5,,,0,0,GLOBAL_SLOT_OCCUPIED,105.18967968749911
1704195000,2024-01-02T11:30:00,ONLINE_HL96,944022,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704195000,2024-01-02T11:30:00,ONLINE_HL256,944022,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704195900,2024-01-02T11:45:00,ONLINE_HL32,944052,30,30,6,,,0,0,GLOBAL_SLOT_OCCUPIED,105.18967968749911
1704195900,2024-01-02T11:45:00,ONLINE_HL96,944052,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704195900,2024-01-02T11:45:00,ONLINE_HL256,944052,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704196800,2024-01-02T12:00:00,ONLINE_HL32,944078,30,28,6,,,0,0,GLOBAL_SLOT_OCCUPIED,105.18967968749911
1704196800,2024-01-02T12:00:00,ONLINE_HL96,944078,30,28,2,US100_H8_REVERSION,0.008230193706862423,1,1,,100.0
1704196800,2024-01-02T12:00:00,ONLINE_HL256,944078,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704197700,2024-01-02T12:15:00,ONLINE_HL32,944106,30,30,4,US100_H8_REVERSION,0.12161467232159698,1,1,,103.12736718749929
1704197700,2024-01-02T12:15:00,ONLINE_HL96,944106,30,30,1,,,0,0,GLOBAL_SLOT_OCCUPIED,100.0
1704197700,2024-01-02T12:15:00,ONLINE_HL256,944106,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704198600,2024-01-02T12:30:00,ONLINE_HL32,944132,30,26,4,,,0,0,GLOBAL_SLOT_OCCUPIED,103.12736718749929
1704198600,2024-01-02T12:30:00,ONLINE_HL96,944132,30,26,0,,,0,0,GLOBAL_SLOT_OCCUPIED,100.0
1704198600,2024-01-02T12:30:00,ONLINE_HL256,944132,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704199500,2024-01-02T12:45:00,ONLINE_HL32,944162,30,26,3,,,0,0,GLOBAL_SLOT_OCCUPIED,103.12736718749929
1704199500,2024-01-02T12:45:00,ONLINE_HL96,944162,30,26,0,,,0,0,GLOBAL_SLOT_OCCUPIED,100.0
1704199500,2024-01-02T12:45:00,ONLINE_HL256,944162,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704200400,2024-01-02T13:00:00,ONLINE_HL32,944190,30,30,3,US100_H8_REVERSION,0.06763653742588388,1,1,,101.22153124999913
1704200400,2024-01-02T13:00:00,ONLINE_HL96,944190,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,98.09871875000007
1704200400,2024-01-02T13:00:00,ONLINE_HL256,944190,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704201300,2024-01-02T13:15:00,ONLINE_HL32,944220,30,30,3,US100_H8_REVERSION,0.04415191418933956,1,1,,99.34491406249897
1704201300,2024-01-02T13:15:00,ONLINE_HL96,944220,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,98.09871875000007
1704201300,2024-01-02T13:15:00,ONLINE_HL256,944220,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704202200,2024-01-02T13:30:00,ONLINE_HL32,944246,30,30,2,US100_H8_REVERSION,0.021185215199524293,1,1,,97.4159609374989
1704202200,2024-01-02T13:30:00,ONLINE_HL96,944246,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,98.09871875000007
1704202200,2024-01-02T13:30:00,ONLINE_HL256,944246,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704203100,2024-01-02T13:45:00,ONLINE_HL32,944272,30,30,2,US30_H16_MOMENTUM,0.03345365612611999,1,1,,95.49740624999889
1704203100,2024-01-02T13:45:00,ONLINE_HL96,944272,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,98.09871875000007
1704203100,2024-01-02T13:45:00,ONLINE_HL256,944272,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704204000,2024-01-02T14:00:00,ONLINE_HL32,944302,30,30,2,US30_H16_MOMENTUM,0.06402256483811503,1,1,,93.70190624999871
1704204000,2024-01-02T14:00:00,ONLINE_HL96,944302,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,98.09871875000007
1704204000,2024-01-02T14:00:00,ONLINE_HL256,944302,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704204900,2024-01-02T14:15:00,ONLINE_HL32,944332,30,30,3,,,0,0,GLOBAL_SLOT_OCCUPIED,93.70190624999871
1704204900,2024-01-02T14:15:00,ONLINE_HL96,944332,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,98.09871875000007
1704204900,2024-01-02T14:15:00,ONLINE_HL256,944332,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
