"source_year","source_entry","Market_and_Exchange_Names","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","Open_Interest_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","FutOnly_or_Combined"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-11-29","209742","254245","47659","78138","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-12-06","124603","81777","17926","16156","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-12-06","209742","250102","45490","77637","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-12-13","124603","106454","20257","18357","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-12-13","209742","312984","44423","75194","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-12-20","124603","72605","26662","6517","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-12-20","209742","245045","54712","62794","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-12-27","124603","74950","25258","8132","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-12-27","209742","250781","55492","70797","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-01-03","124603","79731","27872","9644","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-01-03","209742","244658","58604","60419","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-01-10","124603","77628","27255","9421","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-01-10","209742","253625","58130","70408","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-01-17","124603","82660","29213","11532","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-01-17","209742","275015","62729","80707","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-01-24","124603","77652","22583","12124","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-01-24","209742","273887","58034","87343","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-01-31","124603","80386","23096","13735","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-01-31","209742","278449","61614","89943","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-02-07","124603","86299","23764","14883","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-02-07","209742","279306","67375","106342","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-02-14","124603","87450","24601","15706","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-02-14","209742","276184","58982","104828","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-02-21","124603","91288","27007","18173","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-02-21","209742","268297","58301","93137","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-02-28","124603","89912","25091","18402","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-02-28","209742","268253","58658","89854","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-03-07","124603","89418","24160","16613","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-03-07","209742","260810","59788","87644","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-03-14","124603","104237","16898","18973","FutOnly"
